Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
119,DeMar DeRozan,SF,34,CHI,73,73,2745,582,1224,0.475,68,207,0.329,514,1017,0.505,0.503,481,562,0.856,41,275,316,383,80,44,114,149,1713
120,Moussa Diabat¨¦,C,22,LAC,11,0,64,10,19,0.526,0,0,,10,19,0.526,0.526,9,14,0.643,15,9,24,4,5,1,2,4,29
121,Mamadi Diakite,PF,27,TOT,5,0,24,4,6,0.667,0,1,0,4,5,0.8,0.667,4,6,0.667,1,3,4,2,1,1,1,2,12
121,Mamadi Diakite,PF,27,SAS,3,0,16,4,5,0.8,0,0,,4,5,0.8,0.8,4,6,0.667,1,2,3,2,0,1,0,1,12
121,Mamadi Diakite,PF,27,NYK,2,0,8,0,1,0,0,1,0,0,0,,0,0,0,,0,1,1,0,1,0,1,1,0
122,Hamidou Diallo,SG,25,WAS,2,0,5,1,2,0.5,0,0,,1,2,0.5,0.5,0,0,,2,0,2,1,2,0,1,1,2
123,Gradey Dick,SG,20,TOR,53,12,1058,151,358,0.422,71,197,0.36,80,161,0.497,0.521,38,44,0.864,24,82,106,67,30,2,43,77,411
124,Ousmane Dieng,PF,20,OKC,31,0,342,43,104,0.413,20,67,0.299,23,37,0.622,0.51,14,16,0.875,10,40,50,33,5,3,17,20,120
125,Spencer Dinwiddie,PG,30,TOT,69,51,1992,235,606,0.388,112,342,0.327,123,264,0.466,0.48,154,195,0.79,29,160,189,343,47,19,86,128,736
125,Spencer Dinwiddie,PG,30,BRK,48,48,1474,195,499,0.391,89,278,0.32,106,221,0.48,0.48,125,160,0.781,26,132,158,288,38,9,62,86,604
125,Spencer Dinwiddie,PG,30,LAL,21,3,518,40,107,0.374,23,64,0.359,17,43,0.395,0.481,29,35,0.829,3,28,31,55,9,10,24,42,132
126,Donte DiVincenzo,SG,27,NYK,73,55,2041,386,881,0.438,249,625,0.398,137,256,0.535,0.579,73,100,0.73,58,201,259,190,96,32,96,152,1094
127,Luka Don?i?,PG,24,DAL,65,65,2432,751,1536,0.489,257,676,0.38,494,860,0.574,0.573,451,577,0.782,53,540,593,636,97,34,258,134,2210
128,Luguentz Dort,SF,24,OKC,72,72,2049,257,588,0.437,141,356,0.396,116,232,0.5,0.557,107,129,0.829,70,191,261,100,64,43,65,215,762
129,Ayo Dosunmu,SG,24,CHI,73,34,2102,339,679,0.499,112,280,0.4,227,399,0.569,0.582,81,99,0.818,49,153,202,232,63,34,93,157,871
